Est?n bien;||;They are fine
Est?n aqu?;||;They are here
A ti;||;To you
De ti;||;From you
No puedes;||;You can't
T? puedes;||;You can
S? puedes;||;Yes you can
Vamos, hombre;||;Come on, man
Oh, hombre;||;Oh man
Gracias, hombre;||;Thanks, man
S?, hombre;||;Yes, man
Un hombre;||;A man
A ver;||;Let's see
Como siempre;||;As always
Para siempre;||;Forever
No siempre;||;Not always
Hasta ahora;||;Until now
Ah? est? | All? est?;||;There it is
Ah? tienes | Ah? tiene;||;There you go
Por ah? | Por all?;||;Over there
Ah? est?s;||;There you are
Ah? est?n | All? est?n;||;There they are
Ah? vamos;||;Here we go
Est? ah?;||;It's there
Ah? va;||;There it goes
Dos a?os;||;Two years
Ni yo;||;Not me
Un poco;||;A little
Esta noche;||;Tonight
Uno, dos;||;One, two
S?lo uno;||;Only one
Uno m?s;||;One more
Un d?a;||;One day
Bien hecho;||;Well done
Est? hecho;||;It's done
Estamos bien;||;We are good
Aqu? estamos;||;Here we are
Estamos aqu?;||;We are here
Otra vez | De nuevo;||;Again
De acuerdo;||;Agreed
Me acuerdo;||;I remember
Tengo trabajo;||;I have a job
Nosotros tambi?n;||;So do we
Por nosotros;||;For us
Todos nosotros;||;All of us
Eso parece;||;It seems so
As? parece;||;So it seems
Mira esto;||;Look at this
Mira eso;||;Look at that
Mira, mira;||;Look, look
Mira aqu?;||;Look here
Mi padre;||;My father
S?, padre;||;Yes, father
Gracias, padre;||;Thank you, father
Tu padre;||;Your father
Como sea;||;Whatever
Ahora mismo | Ya mismo;||;Right now
Aqu? mismo;||;Right here
Lo mismo | El mismo;||;The same
Eso mismo;||;That's right
Ah? mismo;||;Right there
A nadie;||;Nobody
Nadie puede;||;No one can
Con nadie;||;With nobody
Podr?a ser;||;Could be
Son ellos;||;They are
Todos ellos;||;All of them
Ni hablar;||;Not to mention
Vas bien;||;You're doing well
Tal vez;||;Maybe
Qu? tal?;||;How are you?
Estoy fuera;||;I'm out
Qu? pasa?;||;What's up?
El dinero;||;The money
Tengo dinero;||;I have money
S?, claro;||;Yes, of course
Oh, claro;||;Oh sure
Est? claro;||;It is clear
Claro, s?;||;Sure, yes
Un momento;||;One moment
Hasta ma?ana;||;Until tomorrow
Esta ma?ana;||;This morning
Mi madre;||;My mother
Tu madre;||;Your mother
S?, madre;||;Yes, mother
Ha lugar;||;There is place
S?, seguro;||;Yes, sure
Estoy seguro;||;I'm sure
Est?s seguro?;||;Are you sure?
Qui?n sabe;||;Who knows
Espera, espera;||;Wait, wait
Espera aqu?;||;Wait here
Oh, espera;||;Oh wait
Es nuevo;||;It's new
Otra cosa;||;Another thing
Mi hijo;||;My son
Vamos, hijo;||;Come on, son
Hola, hijo;||;Hello, son
Gracias, hijo;||;Thank you, son
Est? all?;||;It is there
Gracias, amigo;||;Thank you, friend
Hola, amigo;||;Hello, friend
Vamos, amigo;||;Come on, friend
Un amigo;||;A friend
Mi amigo;||;My friend
Gran cosa;||;Big deal
Una mujer;||;A woman
Mi mujer;||;My wife
Hasta luego;||;See you later
Desde luego;||;Of course
Gracias, mam?;||;Thanks, Mom
Vamos, mam?;||;Come on, mom
Dos d?as;||;Two days
Hola, pap?;||;Hello, Dad
Gracias, pap?;||;Thanks, Dad
S?, pap?;||;Yes, Dad
Tres a?os;||;Three years
Tres d?as;||;Three days
Hoy no;||;Not today
Es buena | Est? buena;||;It's good
Muy buena;||;Very good
Eres buena;||;You are good
Te necesito;||;I need you
Lo necesito;||;I need it
Necesito dinero;||;I need money
Te dije;||;I told you
Eso dije;||;So I said
Me gusta;||;I like it
Te gusta?;||;Do you like it?
As? ser?;||;So it will be
Buen trabajo;||;Good work
Buen d?a;||;Good morning
Oye, oye;||;Hey, hey
Oye, amigo;||;Hey, buddy
Oye, t?;||;Hey you
No realmente | Realmente no;||;Not really
Menos mal;||;Good thing
A?n no | Todav?a no | No todav?a;||;Not yet
Dios m?o;||;My God
Es m?o;||;It's mine
Puedes hacerlo;||;You can do it
Puedo hacerlo;||;I can do it
Quiero hacerlo;||;I want to do it
Podemos hacerlo;||;We can do it
Voy contigo;||;I'm going with you
Estoy contigo;||;I am with you
Aqu? tienen;||;Here you are
Tienes raz?n;||;You're right
Tiene raz?n;||;He's right
Ten?a raz?n;||;He was right
No tanto;||;Not so much
A veces;||;Sometimes
Dos veces;||;Twice
Lo hizo;||;He did
Ven aqu?;||;Come here
Ven conmigo;||;Come with me
Ven, ven;||;Come, come
En serio;||;Seriously
Es tarde;||;It's late
M?s tarde;||;Later
Es hora;||;It's time
Una hora;||;One hour
Es cierto;||;It's true
S?, cierto;||;Yes, right
Oh, cierto;||;Oh right
Muy cierto;||;Very true
Mi amor;||;My love
Hola, amor;||;Hello, love
Bien dicho;||;Well said
Demasiado tarde;||;Too late
Ve t?;||;You go
Buena chica;||;Good girl
Soy polic?a;||;I am a policeman
La polic?a;||;The police
No deber?a;||;It shouldn't
Todos ustedes;||;All of you
Hola, chicos;||;Hi guys
Vamos, chicos;||;Come on, guys
Gracias, chicos;||;Thanks guys
Todav?a nada;||;Still nothing
Alg?n d?a;||;Someday
Qu? haces?;||;What are you doing?
Hola, amigos;||;Hello, friends
Ya veo;||;I see
Lo veo | La veo;||;I see it
Te veo;||;I see you
Los veo;||;I see them
Vaya, vaya;||;My, my
Oh, vaya;||;Oh my
Vaya, gracias;||;Wow, thank you
Eso pens?;||;I thought so
Mi hermano;||;My brother
Gracias, hermano;||;Thank you, brother
Hola, hermano;||;Hello, brother
Lo sab?a;||;I knew it
No sab?a;||;I didn't know
Hola, cari?o;||;Hello, honey
Gracias, cari?o;||;Thanks, honey
S?, cari?o;||;Yes, honey
Oh, cari?o;||;Oh, honey
Cualquier cosa;||;Anything
Ah, s?;||;Ah yes
Ah, hola;||;Ah, hi
Ah, claro;||;Oh sure
Ah, gracias;||;Ah, thank you
Ah, bien;||;Ah, good
Ah, bueno;||;Ah well
Ah, eso;||;Ah, that
Somos amigos;||;We are friends
Somos nosotros;||;It is us
Debo hacerlo;||;I must
Buen chico;||;Good boy
Vamos, chico;||;Come on, boy
Ya pas?;||;It's over
Qu? pas??;||;What happened?
Lo hice;||;I did
Quiz? no | Quiz?s no;||;Maybe not
Quiz? s?;||;Maybe yes
Es genial;||;It's great
Oh, genial;||;Oh great
Fue genial;||;It was great
S?, genial;||;Yeah, great
Ser?a genial;||;That would be great
Ser? genial;||;It will be great
Adi?s, cari?o;||;Goodbye, honey
Adi?s, pap?;||;Bye, dad
Adi?s, mam?;||;Bye, mom
Adi?s, se?or;||;Goodbye, sir
Gracias, adi?s;||;Thank you, bye
Adi?s, amigo;||;Goodbye, friend
S?, adi?s;||;Yes, bye
Por supuesto | Pues claro;||;Of course
Muchas gracias;||;Thank you very much
Muchas cosas;||;Many things
Muchas veces;||;Many times
S?, se?ora;||;Yes, ma'am
Gracias, se?ora;||;Thank you, ma'am
Pues s?;||;Well yes
M?s r?pido;||;Faster
Vamos, r?pido;||;Come on, quick
R?pido, r?pido;||;Quick, quick
Estoy dentro;||;I'm inside
Ya casi;||;Almost now
Lo ves?;||;You see it?
No entiendo;||;I don't understand
Lo entiendo | Ya entiendo;||;I understand
Te entiendo;||;I understand you
S?, entiendo;||;Yes, I understand
La puerta;||;The door
Una semana;||;One week
T? primero;||;You first
Eso espero;||;I hope so
Vamos, ni?os;||;Come on, kids
Buena suerte;||;Good luck
Tienes suerte;||;You are lucky
Qu? suerte;||;What luck
Hasta pronto;||;See you soon
Muy pronto;||;Very soon
Estoy feliz;||;I am happy
Dos minutos;||;Two minutes
Tres minutos;||;Three minutes
Me gustar?a;||;I would
Cu?nto tiempo;||;How long
Mi hija;||;My daughter
Lo vi | La vi;||;I saw it
Te vi;||;I saw you
Hola, coraz?n;||;Hello, sweetheart
Deja eso;||;Leave that
Es importante;||;It is important
Nada importante;||;Nothing important
S?, jefe;||;Yes, boss
Hola, jefe;||;Hello, boss
Gracias, jefe;||;Thanks, boss
Justo aqu?;||;Right here
Justo ah?;||;Right there
Es justo;||;It's fair
Lo har?;||;I will
Eso har?;||;I'll do that
Mi esposa;||;My wife
Buenos d?as;||;Good morning
Debes hacerlo;||;You must
Aqu? viene | Ah? viene;||;Here it comes
Ya viene;||;It's coming
Alguien viene;||;Someone is coming
S?, adelante;||;Yes, go ahead
Cinco minutos;||;Five minutes
Cinco a?os;||;Five years
Vamos, viejo;||;Come on, man
Gracias, viejo;||;Thanks, old man
Con cuidado;||;With care
M?s cerca;||;Closer
Est? cerca;||;It is close
Estamos cerca;||;We are close
Buenas noches;||;Good evening
Venga conmigo;||;Come with me
Venga ya;||;Come on now
Venga aqu?;||;Come here
D?jame ver;||;Let me see
D?jame ir;||;Let me go
Bastante bien;||;Pretty good
Por fin | Al fin;||;At last
En fin;||;Anyway
Escucha esto;||;Listen to this
Es suficiente;||;It is enough
Lo suficiente;||;Enough
Es grande;||;It's big
Buen punto;||;Good point
Sigue as?;||;Keep it up
Sigue adelante;||;Keep going
Sigue hablando;||;Keep talking
All? vamos;||;Here we go
Vamos all?;||;Let's go
All? voy;||;Here I go
Por all?;||;Over there
All? va;||;There he goes
Lo hago | Eso hago;||;I do
Est? arriba;||;It's upstairs
Lo hiciste;||;You did
Qu? dices?;||;What do you say?
Toma esto;||;Take this
D?jame pensar;||;Let me think
Fui yo;||;It was me
Es igual;||;It's the same
A trabajar;||;To work
Algunas veces;||;Sometimes
D?jame entrar;||;Let me in
Estoy listo | Estoy lista;||;I'm ready
Todo listo;||;All set
Est? listo;||;It's ready
No lo se | Yo no s?;||;I don't know
Si, lo es | S?, lo est? | S?, as? es;||;Yes, it is
Si, lo se | S?, ya s?;||;Yes, I know
Si, si, si;||;Yes, yes, yes
S?, est? bien;||;Yes, that's fine
Bien, bien, bien;||;Good, good, good
Est? bien, s?;||;All right, yes
Eso est? bien;||;That's fine
No es eso;||;It's not that
S?, eso es;||;Yes, that's it
Qu? es eso?;||;What is that?
Pero yo s?;||;But I do
Es por aqu?;||;It's this way
S?, aqu? est?;||;Yes, here it is
S?, est? aqu?;||;Yes, she is here
Aqu? est? bien;||;Here is good
Est? por aqu?;||;He is around here
M?s que eso;||;More than that
Qu? es esto?;||;What is this?
Esto est? bien;||;This is fine
Eso es todo;||;That's it
Todo est? bien;||;Everything is fine
Est? todo bien;||;It's all good
No del todo;||;Not quite
Esto es todo;||;This is it
Est? todo aqu?;||;It's all here
S?, todo bien;||;Yes, all good
Todo est? aqu?;||;Everything is here
Ya lo se | Yo lo s?;||;I know
Y ya est?;||;And that's it
S?, estoy bien;||;Yes, I'm fine
Yo estoy bien;||;I'm fine
Estoy en eso;||;I'm on it
Ya estoy bien;||;I'm fine now
Yo estoy aqu?;||;I am here
Pero estoy bien;||;But I'm fine
No muy bien;||;Not very well
Est? muy bien | Es muy bueno | Est? muy bueno;||;It's very good
S?, muy bien;||;Yes, very good
Bien, muy bien;||;Good, very good
Estoy muy bien;||;I'm very good
Muy bien, vamos;||;All right, let's go
Vamos por aqu?;||;Let's go this way
No es as?;||;Not so
As? est? bien | Eso es bueno;||;That's good
S?, algo as?;||;Yes, something like that
Y as? es;||;And so it is
Bueno, est? bien;||;Well that's fine
Esto es bueno;||;This is good
No es bueno;||;Not good
Bueno, bueno, bueno;||;Well, well, well
Bueno, ya est?;||;Well that's it
Bueno, muy bien;||;Well, very good
Hay algo m?s;||;There is something else
Ya lo tengo | Ya la tengo;||;I already have it
S?, lo tengo | S?, la tengo | S?, lo creo;||;Yes, I do
Ya te tengo;||;I've got you
No es ?l;||;It's not him
?l est? bien;||;He's fine
S?, es ?l;||;Yes, it's him
?l est? aqu?;||;He is here
Ahora lo s?;||;Now I know
Lo s? todo;||;I know everything
Eso lo s?;||;I know that
Yo qu? s?;||;What do I know?
S? que s?;||;I know it is
T? y yo;||;You and me
Pero t? s?;||;But you do
Nada de nada;||;Nothing at all
De eso nada;||;Nothing of that
Ya nos vamos;||;We're leaving now
No s? c?mo;||;I don't know how
S?, c?mo no;||;Yes, of course
O algo as?;||;Or something like that
Pero no puedo;||;But I can't
Yo no puedo;||;I can't
Ahora no puedo;||;Now I can't
Tiene que ser;||;It has to be
Aqu? lo tiene | Aqu? lo tienes;||;Here it is
No quiero eso;||;I don't want that
Yo te quiero;||;I love you
Ella est? bien;||;She's fine
Ella est? aqu?;||;She is here
No es ella;||;It's not her
Puedo hacer eso;||;I can do that
Eso fue todo;||;That was it
S?, lo fue;||;Yes, she was
Que fue eso?;||;What was that?
S?, as? fue | S?, lo era;||;Yes, it was
Y as? fue;||;And so it was
Gracias por todo;||;Thanks for everything
Muy bien, gracias;||;Very good, thank you
Estoy bien, gracias;||;I'm fine, thank you
Gracias por esto;||;Thank you for this
Gracias por eso;||;Thank you for that
Gracias, gracias, gracias;||;Thank you, thank you, thank you
Una vez m?s;||;One more time
Esta vez no | No esta vez;||;Not this time
S?lo una vez;||;Just once
S?, soy yo;||;Yes, it's me
As? soy yo;||;That's how I am
Gracias a todos;||;Thank you all
No lo son;||;They are not
Ya lo tienes;||;You already have it
No lo creo;||;I don't think so
Creo que s? | Ya lo creo;||;I think so
Creo que no;||;I think not
S?, eso creo;||;Yes, I think so
T? lo sabes;||;You know it
Ya lo sabes;||;You already know
No lo sabes;||;You don't know
Sabes que s?;||;You know it does
C?mo lo sabes?;||;How do you know?
Ya me voy;||;I'm leaving
Yo me voy | Voy a ir;||;I'm going
Voy por ?l;||;I'm going for him
S?, lo eres;||;Yes, you are
Eres muy bueno;||;You are very good
No puede ser;||;It can't be
No se puede;||;You can't
Puede que s?;||;Maybe yes
Puede que no;||;Maybe not
S?, puede ser;||;Yes, it can be
Ese soy yo | Esa soy yo;||;That's me
Ese es ?l;||;That's him
Es para usted | Es para ti;||;It's for you
Gracias a usted | Gracias a ti;||;Thank you
Muy bien, entonces;||;All right then
Hola a todos;||;Hello everyone
Vamos a casa;||;Let's go home
Estoy en casa;||;I'm home
En mi casa;||;In my house
Es mi casa;||;It's my home
A mi casa;||;To my house
Est?s en casa;||;You are home
Voy a casa;||;I'm going home
No es verdad;||;Not true
S?, es verdad;||;Yes, it is true
Es la verdad;||;It's the truth
Eso es verdad;||;That is true
La verdad, no;||;Not really
S?, de verdad;||;Yes, really
Pero es verdad;||;But it's true
S? qui?n eres;||;I know who you are
S? qui?n es;||;I know who it is
Qui?n es usted?;||;Who are you?
A los dos;||;Both of them
Todo el tiempo;||;All the time
Oh, est? bien;||;Oh, she's fine
Oh, s?, s?;||;Oh yeah yeah
Oh, muy bien;||;Oh, very good
S? d?nde est?;||;I know where she is
Todo va bien;||;Everything is fine
Me va bien;||;I'm doing well
S?, por favor;||;Yes, please
Oh, por favor;||;Oh please
Vamos, por favor;||;Come on, please
Dos, por favor;||;Two, please
Muy bien, se?or;||;Very good, sir
Por aqu?, se?or;||;This way, sir
As? es, se?or;||;That's right, sir
S?, mi se?or;||;Yes, my lord
Est? bien, se?or | De acuerdo, se?or;||;All right, sir
Me siento bien;||;I feel good
Te quiero mucho;||;I love you very much
No para m? | Para m? no;||;Not for me
A m? no;||;Not me
Y a m?;||;And me
Es para m?;||;It's for me
A m? s?;||;I do
As? est? mejor;||;This is better
Eso est? mejor;||;That's better
Mejor me voy;||;I better go
Es lo mejor;||;It's for the best
Eres el mejor | Eres la mejor;||;You are the best
Es mejor as?;||;It's better this way
Mejor que nunca;||;Better than ever
Es el mejor;||;He's the best
Me siento mejor;||;I feel better
A lo mejor;||;Maybe
As? se hace;||;Way to go
Hace mucho tiempo;||;A long time ago
Qu? quieres decir?;||;What do you mean?
Y t? tambi?n;||;And you too
Para m? tambi?n;||;For me too
Gracias a Dios;||;Thank goodness
Oh, mi Dios;||;Oh my God
Oh, por Dios;||;Oh my gosh
Por favor, Dios;||;Please, God
Ya est?n aqu?;||;They are here
Bien por ti;||;Good for you
A ti tambi?n;||;You too
Y a ti;||;And you
S? que puedes;||;Yes you can
Lo siento, hombre;||;Sorry, man
Soy un hombre;||;I am a man
Vamos a ver;||;Let's see
No puedo ver;||;I can't see
Voy a ver;||;I'll see
Es mi vida;||;It's my life
Hay alguien aqu?;||;There is someone here
Lo de siempre;||;The usual
Siempre es as?;||;It is always like this
Las dos cosas;||;Both
Ah? lo tienes;||;There you have it
Est? todo ah?;||;It's all there
Yo estaba ah? | Yo estaba all?;||;I was there
Tengo que ir;||;I have to go
No puedo ir;||;I can't go
Tenemos que ir;||;We have to go
Vamos a ir;||;Let's go
Tienes que ir;||;You have to go
Un poco m?s;||;A little more
S?lo un poco;||;Just a little
Poco a poco;||;Little by little
Es de noche;||;It is night
Todo el d?a;||;All day
Ya est? hecho;||;It's done
Es un hecho;||;It is a fact
De hecho, s?;||;In fact, yes
Muy bien hecho;||;Very well done
Lo he hecho;||;I have
S?, estamos bien;||;Yes, we are fine
Bueno, aqu? estamos;||;Well, here we are
Y aqu? estamos;||;And here we are
Ya estamos aqu?;||;We are here
Otra vez no | No otra vez;||;Not again
Gracias otra vez | Gracias de nuevo;||;Thanks again
Hola otra vez | Hola de nuevo;||;Hello again
Estoy de acuerdo;||;I agree
No me acuerdo;||;I don't remember
S?, de acuerdo;||;Yes, all right
S?, me acuerdo;||;Yes, I remember
Estamos de acuerdo;||;We agree
Es mi trabajo;||;It's my job
Tengo mucho trabajo;||;I have a lot of work
Es su trabajo;||;It's his job
No me parece;||;I don't think so
S?, eso parece;||;Yes, it seems so
Qu? te parece?;||;What do you think?
Soy su padre;||;I am his father
Soy tu padre;||;I am your father
Lo que sea;||;Whatever
Que as? sea;||;So be it
Es lo mismo;||;It's the same
Ahora mismo voy;||;I'm going right now
No soy nadie;||;I am nobody
Qu? quiere decir?;||;What does it mean?
Tenemos que hablar;||;We have to talk
No puedo hablar;||;I can't speak
Vamos a hablar;||;Let's talk
S?lo quiero hablar;||;I just want to talk
A d?nde vas?;||;Where are you going?
Tal vez no;||;Maybe not
S?, tal vez;||;Yes, maybe
Tal vez s?;||;Maybe yes
Fuera de aqu?;||;Get out of here
Despu?s de ti | Despu?s de usted;||;After you
Es mucho dinero;||;It's a lot of money
Tengo el dinero;||;I have the money
Todo el mundo;||;Everyone
Claro que no;||;Of course not
Claro que si;||;Of course
Claro que puedes;||;Sure you can
Claro que puedo;||;Sure I can
S?, s?, claro;||;Yes, yes, of course
S?lo un momento;||;Just a moment
Un momento, se?or;||;One moment, sir
Por el momento;||;For the moment
En otro momento;||;Another time
En un momento;||;In a moment
Es el momento | Es la hora;||;It is time
Soy su madre;||;I am her mother
Qu? est?s haciendo?;||;What are you doing?
Lo estoy haciendo;||;I am
Qu? est? haciendo?;||;What is he doing?
Mira este lugar;||;Look at this place
Seguro que s?;||;Sure you do
S?, estoy seguro;||;Yes, I'm sure
Seguro que no;||;Surely not
Eso es seguro;||;That's for sure
M?s te vale;||;You better
Nunca se sabe | Uno nunca sabe;||;You never know
Nadie lo sabe;||;Nobody knows
Ya lo sabe | Usted lo sabe;||;You know
Ella lo sabe;||;She knows
?l lo sabe;||;He knows
Espera un momento;||;Wait a minute
Una cosa m?s;||;One more thing
S?lo una cosa;||;Only one thing
Es mi hijo;||;He's my son
M?s o menos;||;More or less
Lo siento, amigo;||;Sorry, friend
Soy tu amigo;||;I am your friend
Est? bien, amigo | Muy bien, amigo;||;All right, friend
Es una mujer;||;She is a woman
S?, desde luego;||;Yes, of course
Bueno, hasta luego;||;Well, see you later
Mam?, por favor;||;Mom, please
Te quiero, mam?;||;I love you, Mom
Por favor, mam?;||;Please, Mom
Todos los d?as;||;Every day
Lo siento, pap?;||;Sorry, Dad
Te quiero, pap?;||;I love you, dad
Pap?, por favor;||;Dad, please
Uno, dos, tres | Un, dos, tres;||;One, two, three
A las tres;||;At three
Tres, dos, uno;||;Three, two, one
Esa es buena;||;That's good
Necesito el dinero;||;I need the money
Necesito m?s tiempo;||;I need more time
Te lo dije;||;I told you
No dije eso;||;I didn't say that
Se lo dije;||;I told him
No dije nada;||;I didn't say anything
Nunca dije eso;||;I never said that
Ya te dije;||;I already told you
As? me gusta;||;I like it that way
Eso me gusta | Me gusta eso;||;I like that
Me gusta mucho;||;I really like it
S?, me gusta;||;Yes, I like it
Buen d?a, se?or;||;Good morning, sir
Oye, oye, oye;||;Hey, hey, hey
Oh, Dios m?o;||;Oh my gosh
No es m?o;||;It's not mine
Eso es m?o;||;That's mine
Toda la noche;||;All night
Toda mi vida;||;All my life
Tengo que hacerlo;||;I have to
Vamos a hacerlo;||;Let's do it
Tienes que hacerlo;||;You have to
No quiero hacerlo;||;I don't want to
Tenemos que hacerlo;||;We have to
Ten?a que hacerlo;||;He had to
Voy a hacerlo;||;I'm going to do it
Yo puedo hacerlo;||;I can do it
T? puedes hacerlo;||;You can do it
Lo he visto;||;I've seen it
La he visto;||;I have seen it
Te he visto;||;I have seen you
Quiero hablar contigo;||;I want to talk to you
Necesito hablar contigo;||;I need to talk to you
Quiere hablar contigo;||;He wants to talk to you
Quer?a hablar contigo;||;I wanted to talk to you
Quiero estar contigo;||;I want to be with you
Quiero ir contigo;||;I want to go with you
S?, tienes raz?n | S?, tiene raz?n;||;Yes, you are right
Ella tiene raz?n;||;She is right
?l tiene raz?n;||;He is right
Te quiero tanto;||;I love you so much
S?, a veces;||;Yes, sometimes
S?, lo hizo;||;Yes, he did
?l lo hizo;||;He did
Ven con nosotros;||;Come with us
Ven por aqu?;||;Come this way
Ven a ver;||;Come see
Ven con pap?;||;Come with papa
Esto es serio;||;This is serious
Es en serio;||;I'm serious
S?, en serio;||;Yes, seriously
Va en serio;||;You are serious
Se hace tarde;||;It's getting late
Ya era hora;||;It was about time
Ya es hora;||;It's about time
No es cierto;||;Not true
S?, es cierto;||;Yes, it is true
Eso es cierto;||;That is true
Hola, mi amor;||;Hello, my love
Se ve bien;||;Looks good
Ve a casa;||;Go home
Ve por ?l;||;Go get him
Ve por ella;||;Go get her
Ve con ella;||;Go with her
Qu? ha pasado?;||;What happened?
Es la polic?a;||;It's the police
Deber?a estar aqu?;||;It should be here
Lo siento, chicos;||;Sorry, guys
Muy bien, chicos;||;All right, guys
Qu? haces aqu??;||;What are you doing here?
Voy a salir;||;I'm going out
Tengo que salir;||;I have to go out
Vamos a salir;||;Let's go out
No puedo salir;||;I can't go out
Ya lo veo;||;I see
Te veo luego | Te veo despu?s;||;See you later
Oh, ya veo;||;Oh, I see
Te veo ma?ana;||;See you tomorrow
S?, ya veo;||;Yes, I see
S?, lo veo;||;Yes, I see it
Vaya, vaya, vaya;||;My, my, my
No se vaya;||;Don't go
Vaya por Dios;||;My God
Eres mi hermano;||;You are my brother
Ya lo sab?a;||;I already knew
S?, lo sab?a;||;Yes, I knew
Lo siento, cari?o;||;Sorry, honey
Lo s?, cari?o;||;I know, honey
Ven aqu?, cari?o;||;Come here, darling
Muy bien, cari?o;||;All right, darling
Te quiero, cari?o;||;I love you, darling
En cualquier momento;||;At any time
Ah, ya veo;||;Ah, I see
Ah, s?, s?;||;Ah yes, yes
Ah, eres t?;||;Ah, it's you
